topic,link,domain,published_date,title,lang
SCIENCE,https://www.eurekalert.org/pub_releases/2020-08/dbnl-acl080620.php,eurekalert.org,2020-08-06 13:59:45,closer look solar fuel potenti,en
SCIENCE,https://www.pulse.ng/news/world/an-irresistible-scent-makes-locusts-swarm-study-finds/jy784jw,pulse.ng,2020-08-12 15:14:19,irresist scent make locust swarm studi find,en
SCIENCE,https://www.express.co.uk/news/science/1322607/artificial-intelligence-warning-machine-learning-algorithm-social-media-data,express.co.uk,2020-08-13 21:01:00,artifici intellig warn ai know us better know,en
SCIENCE,https://www.ndtv.com/world-news/glaciers-could-have-sculpted-mars-valleys-study-2273648,ndtv.com,2020-08-03 22:18:26,glacier could sculpt mar valley studi,en
SCIENCE,https://www.thesun.ie/tech/5742187/perseid-meteor-shower-tonight-time-uk-see/,thesun.ie,2020-08-12 19:54:36,perseid meteor shower 2020 time see huge bright firebal uk tonight,en
SCIENCE,https://interestingengineering.com/nasa-releases-in-depth-map-of-beirut-explosion-damage,interestingengineering.com,2020-08-08 11:05:45,nasa releas map beirut explos damag,en
SCIENCE,https://www.thequint.com/tech-and-auto/spacex-nasa-demo-2-rocket-launch-set-for-saturday-how-to-watch,thequint.com,2020-05-28 09:09:46,spacex nasa rocket launch set saturday watch,en
SCIENCE,https://www.thespacereview.com/article/4003/1,thespacereview.com,2020-08-10 22:48:23,orbit space tourism set rebirth 2021,en
SCIENCE,https://www.businessinsider.com/greenland-melting-ice-sheet-past-tipping-point-2020-8,businessinsider.com,2020-08-16 00:28:54,greenland melt ice sheet point return,en
SCIENCE,https://www.thehindubusinessline.com/news/science/nasa-invites-engineering-students-to-help-harvest-water-on-mars-moon/article32352915.ece,thehindubusinessline.com,2020-08-14 07:43:25,nasa invit engin student help harvest water mar moon,en
SCIENCE,https://www.azoquantum.com/News.aspx?newsID=7321,azoquantum.com,2020-08-04 14:02:00,astronom detect electromagnet signal caus unequ collis,en
SCIENCE,https://interestingengineering.com/nasa-finds-ammonia-linked-mushballs-and-shallow-lightning-on-jupiter,interestingengineering.com,2020-08-07 09:23:57,nasa find lightn jupit,en
SCIENCE,https://menafn.com/1100601885/Russia-targets-returning-to-Venus-build-reusable-rocket,menafn.com,2020-08-07 22:05:55,russia target return venu build reusabl rocket,en
SCIENCE,https://www.nasa.gov/press-release/goddard/2020/mars-nightglow/,nasa.gov,2020-08-06 16:28:32,martian night sky puls ultraviolet light,en
SCIENCE,https://scitechdaily.com/energy-efficient-tuning-of-spintronic-neurons-to-imitate-the-non-linear-oscillatory-neural-networks-of-the-human-brain/,scitechdaily.com,2020-08-17 14:23:19,tune spintron neuron imit oscillatori neural network human brain,en
SCIENCE,https://www.theladders.com/career-advice/scientists-may-have-discovered-the-achilles-heel-of-the-coronavirus,theladders.com,2020-08-14 19:58:55,scientist may discov achil heel coronaviru,en
SCIENCE,https://www.eurekalert.org/pub_releases/2020-08/e-tbt080420.php,eurekalert.org,2020-08-04 16:02:36,tradeoff eye nose help fli find nich,en
SCIENCE,https://kearneyhub.com/news/national/2020s-final-mars-mission-poised-for-blastoff-from-florida/article_241d8506-ac89-56f5-8472-6c5f8423523d.html,kearneyhub.com,2020-08-08 17:13:07,2020 final mar mission pois blastoff florida,en
SCIENCE,https://www.washingtonpost.com/science/ant-behavior-evolution-fossil/2020/08/14/a246197c-dcd6-11ea-809e-b8be57ba616e_story.html,washingtonpost.com,2020-08-15 12:00:00,rare find fossil show hell ant ate prey weird jaw,en
SCIENCE,https://www.rnz.co.nz/news/world/422607/nasa-spacex-crew-return-dragon-capsule-splashes-down,rnz.co.nz,2020-08-02 18:50:38,nasa spacex crew return dragon capsul splash,en
SCIENCE,https://www.techexplorist.com/look-mars-eerie-nightglow/34341/,techexplorist.com,2020-08-07 11:17:00,take look mar eeri nightglow,en
SCIENCE,https://interestingengineering.com/cern-scientists-discover-rare-higgs-boson-process,interestingengineering.com,2020-08-05 13:08:05,cern scientist discov rare higg boson process,en
SCIENCE,https://www.liverpoolecho.co.uk/news/liverpool-news/beautiful-healthy-young-woman-died-18747884,liverpoolecho.co.uk,2020-08-11 04:00:00,healthi young woman die suddenli dream work trip australia,en
SCIENCE,https://scitechdaily.com/hubble-uses-moon-as-mirror-to-study-earths-atmosphere-proxy-in-search-of-potentially-habitable-planets-around-other-stars/,scitechdaily.com,2020-08-06 14:28:45,hubbl use moon mirror studi earth atmospher proxi search potenti habit planet around star,en
SCIENCE,https://www.daijiworld.com/news/newsDisplay.aspx?newsID=737478,daijiworld.com,2020-08-04 10:07:36,indian research show ppe turn biofuel,en
SCIENCE,https://www.thechronicleherald.ca/lifestyles/regional-lifestyles/atlantic-skies-young-astronomers-and-the-perseid-meteors-481695/,thechronicleherald.ca,2020-08-07 10:11:08,atlant sky young astronom perseid meteor,en
SCIENCE,https://www.clickorlando.com/news/local/2020/08/04/nasa-astronauts-to-talk-about-historic-spacex-splashdown/,clickorlando.com,2020-08-04 23:21:00,came aliv nasa astronaut describ experienc splashdown spacex dragon,en
SCIENCE,https://www.sproutwired.com/when-did-humans-find-out-how-to-use-fire/,sproutwired.com,2020-08-08 15:00:00,human find use fire,en
SCIENCE,https://futurism.com/the-byte/sourdough-exoplanet-surprisingly-dense,futurism.com,2020-08-04 07:00:00,like first quarantin sourdough attempt exoplanet surprisingli dens,en
SCIENCE,https://www.heritagedaily.com/2020/08/ring-like-structure-on-ganymede-may-have-been-caused-by-a-violent-impact/134643,heritagedaily.com,2020-08-07 22:11:40,structur ganymed may caus violent impact,en
SCIENCE,https://www.cbsnews.com/news/nasa-drops-insensitive-nicknames-cosmic-objects/,cbsnews.com,2020-08-08 18:39:00,nasa drop insensit nicknam cosmic object,en
SCIENCE,https://www.express.co.uk/news/science/1323379/Archaeology-news-Jerusalem-Siloam-Tunnel-inscription-Hezekiah-Bible-accurate,express.co.uk,2020-08-16 09:01:00,archaeolog inscript jerusalem prove bibl right expert claim,en
SCIENCE,https://www.cbsnews.com/news/mars-helicopter-ingenuity-milestone-perseverance-rover/,cbsnews.com,2020-08-17 11:22:00,mar helicopt reach big mileston flight planet,en
SCIENCE,https://www.dailymail.co.uk/sciencetech/article-8612449/Sunspot-size-Mars-turning-Earth-solar-flares-affect-electronics.html,dailymail.co.uk,2020-08-10 15:51:55,sunspot size mar turn toward earth,en
SCIENCE,https://www.space.com/jupiter-moon-ganymede-giant-impact-scar.html,space.com,2020-08-07 20:44:00,jupit huge moon ganymed may largest impact scar solar system,en
SCIENCE,https://www.mirror.co.uk/science/man-posts-mind-blowing-tiktok-22521686,mirror.co.uk,2020-08-14 11:58:00,man post tiktok highest point canada disprov flat earth theori,en
SCIENCE,https://www.27east.com/southampton-press/cause-of-massive-fish-kill-in-shinnecock-canal-not-clear-2-1479054/,27east.com,2019-11-23 16:07:14,caus massiv fish kill shinnecock canal clear 27 east,en
SCIENCE,https://www.eurekalert.org/pub_releases/2020-08/ps-unm080320.php,eurekalert.org,2020-08-03 20:17:32,unequ merger creat uniqu bang simul,en
SCIENCE,https://www.cnn.com/2020/08/03/us/zombie-cicadas-west-virginia-fungus-scn-trnd/index.html,cnn.com,2020-08-03 21:59:00,cicada influenc mind control fungu return west virginia,en
